State	EventYear	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
CT	1998	2		0	1		0	1		2	0		0
CT	1999		0		0	1	1			0	0		0
CT	2000	0	0	0		0	0		2			2	1
CT	2001			0		1	2	1	1	0	0	1	0
CT	2002	0	2		0		0	0	2				0
CT	2003		0	0	0	2		0	0			0	0
CT	2004	0			0	0	1			1	0	0	0
CT	2005				1	0	0		0				0
CT	2006	0				3	3			1			0
CT	2007	0			0		0	0		0	0		
CT	2008				0			0	0	0	0	2	
CT	2009						0			1			
CT	2010	0				0			0		0		
CT	2011			0									
DC	1982	3								1			0
DC	1983										0		
DC	1984								0	0	0		
DC	1985	2			0					1			
DC	1986					1						0	
DC	1987							0	0				
DC	1988							0		0		0	
DC	1989					0							
DC	1990		0			0							
DC	1994								1				
DC	1995				0								
DC	1996		0		0								
DC	1997					2							
DC	1998				0							0	
DC	1999								0				
DC	2001								0				
DC	2002						1						
DC	2004						0						
DC	2005						0						
DC	2006					0							
DC	2007									0			
DC	2008		0										
DC	2010												0
DE	1982						1		0		0		
DE	1983		0						0	0	5		
DE	1984					1	0	1	0	0		0	
DE	1985			0				0		0			0
DE	1986					1				0		0	
DE	1987			0		1			1		0		
DE	1988					1		0	0		0		
DE	1989			0			0		0			0	
DE	1990											0	
DE	1991	0			0	0				1			
DE	1992					2	0		0	0			
DE	1993						0						
DE	1994	2			0				0			1	
DE	1995					0							
DE	1996				0								
DE	1997					0					2		
DE	1998			0			1	1					
DE	1999							0	2				0
DE	2000						0	0					
DE	2001							0			0		
DE	2002		0										
DE	2003	0			0						0		
DE	2005					3		0	0			1	
DE	2006						0						0
DE	2007			2						0		0	0
DE	2008				0							0	0
DE	2009			0					0			0	
DE	2010				0								
FL	1982	7	4	4	5	4	6	2	4	4	2	2	0
FL	1983	3	6	3	8	6	4	2	7	7	8	2	14
FL	1984	7	4	4	9	1	5	12	2	4	7	6	2
FL	1985	4	2	2	4	6	10	2	2	5	6	2	2
FL	1986	16	3	5	4	8	8	35	5	4	2	9	4
FL	1987	3	1	2	2	2	3	11	1	9	0	8	7
FL	1988	3	5	6	4	8	3	1	3	8	8	2	7
FL	1989	7	6	9	4	4	3	6	8	3	6	5	3
FL	1990	4	3	10	2	7	0	28	2	4	25	1	1
FL	1991	6	5	6	2	7	6	6	9	5	5	7	2
FL	1992	3	1	0	1	4	6	4	3	5	4	6	5
FL	1993	26	3	6	5	4	6	1	5	12	2	11	4
FL	1994	4	4	10	6	10	4	0	4	3	3	0	1
FL	1995	6	1	1	3	7	6	1	0	8	0	6	1
FL	1996	8	5	1	1	2	6	7	3	2	4	0	7
FL	1997	6	1	2	5	5	2	8	4	1	5	5	2
FL	1998	0	0	18	4	7	6	4	5	1	1	1	1
FL	1999	1	4	0	21	0	3	2	5	1	6	0	7
FL	2000	3	4	4	5	2	5	1	6	2	6	19	2
FL	2001	2	5	0	2	11	3	15	6	0	0	6	6
FL	2002	6	2	0	2	1	6	3	3	2	0	2	0
FL	2003	3	8	3	2	3	35	4	7	5	9	4	3
FL	2004	0	6	0	3	1	1	2	10	1	4	1	0
FL	2005	0	2	0	4	6	5	5	5	1	8	2	4
FL	2006	0	2	7	8	2	4	4	1	3	2	5	1
FL	2007	3	4	4	5	1	4	4	7	6	1	10	6
FL	2008	8	7	0	3	3	9	3	4	3	1	10	2
FL	2009	2	0	2	4	0	2	4	2	0	6	7	0
FL	2010	0	2	3	0	3	2	0	0	1	1	0	1
FL	2011	3	2	1	0								
GA	1982	0	0	2	3	1	5	0	1	0	0	2	0
GA	1983	0	0	4	1	1	1	4	5	1	2	0	0
GA	1984	1	4	1	0	2	1	0	5	9	4	1	0
GA	1985	0	3	0	2	3	2	6	0	0	4	0	0
GA	1986	0	2	2	0	5	3	4	5	2	0	3	3
GA	1987	1	0	6	0	0	0	2	0	2	0	0	1
GA	1988	3	0	0	3	3	2	3	16	0	0	3	6
GA	1989	0	0	3	0	0	2	1	0	0	1	0	0
GA	1990	0	0	3	2	4	0	1	1	2	0	0	0
GA	1991	0	1	0	0	5	1	2	1	3	2	1	0
